,SID31004,SID31009,SID31021,SID31030,SID31071,SID31112,SID31129,SID31137,SID31159,SID31160,SID31188,SID31219,SID31223,SID31233,SID31236,SID31237,SID31256,SID31267,SID31275,SID31276,SID31282,SID31285,SID31300,SID31328,SID31333,SID31337,SID31343,SID31360,SID31367,SID31379,SID31398,SID31416,SID31424,SID31428,SID31431,SID31446,SID31449,SID31450,SID31452,SID31455,SID31477,SID31489,SID31493,SID31501,SID31512,SID31519,SID31537,SID31549,SID31557,SID31582,SID31637,SID31685,SID31700,SID31705,SID31711,SID31714,SID31723,SID31749,SID31750,SID31766,SID31865,SID31866,SID31868,SID31870,SID31871,SID31872,SID31873,SID31874,SID31875,SID31876,SID31877,SID31878,SID31879,SID31880,SID31881,SID31883,SID31884,SID530002,SID530018,SID530026,SID530028,SID530039,SID530041,SID530050,SID530052,SID530054,SID530055,SID530074,SID530075,SID530119,SID530142,SID530154,SID530163,SID530167,SID530168,SID530172,SID530177,SID530185,SID530215,SID530227,SID530251,SID530258,SID530262,SID530295,SID530297,SID530315,SID530323,SID530331,SID530348,SID530364,SID530368,SID530373,SID530394,SID530398,SID530403,SID530444,SID530450,SID530451,SID530558,SID530600,SID530623,SID530697,SID530705,SID530743,SID530756,SID530840,SID530867,SID530890,SID531128,SID531155,SID531248,SID531274,SID531277,SID531281,SID531333,SID531352,SID531361,SID531382,SID531403,SID531414,SID531416,SID531424,SID531469,SID531663,SID531766,SID531775,SID532305,SID532749,SID532779,SID532796,SID532802,SID532826,SID532832,SID532915
UniRef90_A0A3E5E271,0.00016174,7.21028e-05,0.000172471,0.000146983,0.000105155,0.000157072,0.000225683,0.000258589,5.61233e-05,0.000107698,6.37875e-05,0.000146169,0.000100251,9.58074e-05,0.000114792,8.0389e-05,0.000134696,0.000100528,5.22393e-05,0.000111845,0.000148708,6.71318e-05,0.000184318,0.00014153,7.02874e-05,0.000240123,1.44108e-05,0.00014756,1.55006e-05,0.000122687,8.92233e-05,0.000107748,0.000145299,0.000124466,7.39226e-05,5.47221e-05,0.000136195,6.44619e-05,0.000175249,7.9295e-05,7.15305e-05,0.000142891,4.44482e-05,0.000202253,0.000135355,0.000132232,4.33816e-05,0.000151521,8.80226e-05,7.72107e-05,5.1092e-05,7.43068e-05,7.17563e-05,1.29677e-05,0.000113839,4.81484e-05,3.1313e-05,9.15766e-05,9.57876e-05,0.00011321,0.000150657,7.45815e-05,3.85797e-05,2.13305e-05,0.000166872,6.21901e-05,8.32215e-05,9.3946e-05,9.43491e-05,3.96558e-05,8.17857e-05,7.53657e-05,8.03871e-05,4.02465e-05,7.4769e-05,4.25813e-05,0.000113469,0.000142976,7.37374e-05,3.36586e-05,0.000205537,0.000218445,7.42532e-05,6.26541e-05,6.18732e-05,7.39778e-05,0.000123876,0.00010137,4.17647e-05,8.22214e-05,8.76643e-05,0.000117963,8.93198e-05,0.000167589,0.000139259,0.000156697,0.000105751,0.000120606,9.57817e-05,0.000103168,0.000105523,0.00012213,0.000105033,8.12858e-05,9.96402e-05,9.73713e-05,6.77708e-05,0.000182737,0.000141686,0.00016025,0.000178553,6.56106e-05,8.37887e-05,0.000205424,9.24445e-05,9.46118e-05,5.91184e-05,0.000176705,0.000113619,9.30026e-05,0.000119617,0.000107311,8.98814e-05,0.000140422,5.70423e-05,8.16119e-05,8.77436e-05,8.4755e-05,8.83278e-05,0.000145408,3.62672e-05,8.07676e-07,0.000134606,6.32943e-05,9.44944e-05,7.67882e-05,4.79311e-05,2.66037e-05,5.36868e-05,8.0249e-05,7.04106e-05,4.24376e-06,0.000139705,0.000276797,5.69263e-05,9.40557e-05,6.79035e-05,0.00013198,0.000164217,7.23261e-05,0.000159192,9.59182e-05,9.73778e-05,0.000123172
UniRef90_A5ZTV6|g__Blautia.s__Blautia_obeum,0.000166353,0.000105202,8.40195e-05,4.98827e-05,0.000183193,0.000232631,0.000305139,0,0.000113534,0.000176124,7.00784e-05,6.27306e-05,2.13238e-05,0.000260463,8.16573e-05,0.000163282,0.000247586,0.000142092,1.96672e-05,8.895e-05,0.000139594,4.339e-05,4.64306e-05,6.96528e-05,0.000124766,0.000451451,4.37197e-05,0.000108492,3.61061e-05,0.000169337,0.000200285,0.000486855,0.000223085,0.000139646,9.28809e-05,7.26462e-05,0.000209307,9.61871e-05,3.78065e-05,7.75417e-05,0.000118542,8.15607e-05,9.20466e-05,0,0.000177655,4.74259e-05,0.000122626,0.000155725,0.000168232,0.000123309,0,2.76854e-05,4.51732e-05,3.96231e-05,0,0.000175619,0.000175164,8.22696e-05,8.95539e-05,0.000226376,0.000217314,3.62656e-05,3.85783e-05,0.000137032,0.000140251,9.66713e-05,3.82664e-05,1.34361e-05,6.48111e-05,2.29251e-05,3.74835e-05,7.61414e-05,2.44213e-05,4.37609e-05,2.01603e-05,3.01494e-05,8.48108e-05,0.000182893,0.000210435,0.000105268,8.78636e-05,0.000361994,2.27179e-05,5.15332e-05,0.000249762,6.76714e-05,6.66506e-05,0.000189455,5.63458e-05,0.000176075,0.000105763,0.000346558,0,4.97114e-05,7.27404e-05,0.000313543,0.000296218,3.2995e-05,9.6833e-05,0,0.000359932,0.000205347,0.000131005,3.58614e-05,0.000138175,0.000162019,0.000122891,4.07561e-05,0.000167169,0.000203154,0.000186183,2.58537e-05,2.89286e-05,9.89278e-05,0.000227504,0.00019861,0.000154693,6.12827e-05,0,3.15334e-05,3.71975e-05,0.000170463,0,0,0,7.08899e-06,2.85555e-05,6.28447e-05,3.23243e-05,7.62262e-05,2.18546e-05,6.79518e-07,5.56391e-05,5.81676e-05,0.000145038,2.57603e-05,1.571e-05,0,0,5.15159e-05,9.67877e-05,0,0.000108635,3.34555e-05,2.73545e-05,0,0,0.000162472,2.27245e-05,2.5868e-05,2.17845e-05,0.000117187,3.20019e-05,2.61427e-05
UniRef90_X5NU12,0.00030294,0.00018713,6.94151e-05,8.62174e-05,0.000274902,0.000143087,0.000117861,0.000299261,8.48349e-05,4.85451e-05,0.000109163,4.56296e-05,0,0.000392888,2.78005e-05,0.000195458,0.000130521,0.000106409,9.09709e-05,4.61837e-05,0.00015771,4.45094e-05,5.49455e-05,9.9253e-05,0.000110906,2.94712e-06,5.92822e-06,0.000238252,3.67459e-05,0.000503825,0.000188913,2.38497e-05,7.64171e-05,2.79878e-05,4.88893e-05,4.96297e-05,5.2885e-05,1.98145e-07,5.39429e-05,3.78936e-05,0.000114847,0.000131845,8.51262e-05,0.00070307,5.93213e-05,7.92925e-05,0.000224432,6.3918e-05,0.000275486,0.000142858,0.00018266,0,0.000130384,0.00012281,0.000627687,3.02914e-05,0.000176977,4.72082e-05,0.00023111,9.5658e-05,6.17751e-05,0.000106043,7.9954e-05,0.000198451,0.000146204,3.30867e-05,0.000129639,3.02822e-05,0,6.35327e-05,4.39725e-05,5.01291e-05,4.30292e-07,9.23189e-05,8.6533e-05,2.28843e-05,4.43449e-05,0.000102063,0.000233401,0.00016898,7.04103e-05,0.000104039,1.54068e-07,0.000231079,0.000239559,7.31766e-05,2.03512e-07,3.46746e-05,3.65112e-05,8.0496e-05,4.94978e-05,0.000135808,0.000554832,7.58737e-05,7.47159e-05,0.000126957,0.000120803,4.32793e-05,0.000137798,4.68004e-07,7.16648e-05,8.60475e-05,5.20038e-05,8.20212e-05,6.76538e-05,6.04155e-05,8.30722e-05,1.06415e-05,8.03523e-05,0.000105787,8.00801e-05,8.31734e-05,6.05428e-05,6.9625e-06,6.39114e-05,0.000148057,5.01234e-05,0.000120705,5.29746e-05,8.23502e-07,6.25603e-05,5.65221e-05,0.000351679,0.00011655,1.59125e-07,5.33269e-05,3.152e-05,7.04703e-05,0.000134495,0.000142655,6.97555e-05,1.89174e-05,0.000122776,0.000150966,1.4001e-05,1.95235e-05,8.18623e-06,4.0374e-07,2.9069e-07,2.49296e-05,6.87879e-05,3.58669e-05,5.71335e-05,0,0,6.24169e-05,0.000168971,0.000110498,0,3.37928e-05,4.70353e-05,7.59063e-05,2.25779e-05,2.80806e-05
UniRef90_X5NU12|g__Streptococcus.s__Streptococcus_salivarius,0.000302728,0.000187071,6.94151e-05,8.62174e-05,0.000274902,0.000143087,0.000117861,0.000299124,8.48349e-05,4.83628e-05,0.000109163,4.50757e-05,0,0.00039284,2.78005e-05,0.000195458,0.000130521,0.000106409,9.09709e-05,4.61837e-05,0.00015771,4.45094e-05,5.49455e-05,9.9253e-05,0.000110906,0,0,0.000238252,3.67459e-05,0.000503825,0.00018885,2.38497e-05,7.62883e-05,2.79878e-05,4.86608e-05,4.96297e-05,5.2885e-05,0,5.39429e-05,3.78936e-05,0.000114249,0.000131845,8.51262e-05,0.00070307,5.93213e-05,7.92925e-05,0.000224342,6.3918e-05,0.000275336,0.000142858,0.000181932,0,0.000130384,0.00012281,0.000627531,2.96343e-05,0.000176977,4.72082e-05,0.000230948,9.5658e-05,6.17751e-05,0.000106043,7.94677e-05,0.000198098,0.000146204,3.30867e-05,0.000129639,3.02822e-05,0,6.35327e-05,4.39725e-05,5.01291e-05,0,9.23189e-05,8.6533e-05,2.28843e-05,4.43449e-05,0.000101919,0.000233401,0.00016898,7.02449e-05,0.000104039,0,0.000231079,0.000239559,7.31766e-05,0,3.43948e-05,3.65112e-05,8.0496e-05,4.94978e-05,0.000135742,0.00055467,7.58737e-05,7.46696e-05,0.000126957,0.000120555,4.2954e-05,0.000137798,0,7.12336e-05,8.60475e-05,5.14484e-05,8.20212e-05,6.76538e-05,6.04155e-05,8.30722e-05,1.06415e-05,8.03523e-05,0.000105787,7.97712e-05,8.31734e-05,6.05428e-05,6.9625e-06,6.39114e-05,0.000147875,4.98838e-05,0.000120137,5.29746e-05,0,6.25603e-05,5.65221e-05,0.000351679,0.00011655,0,5.29886e-05,3.152e-05,7.04703e-05,0.000134237,0.000142655,6.97555e-05,1.86382e-05,0.000122776,0.000150966,1.4001e-05,1.9331e-05,8.18623e-06,0,0,2.49296e-05,6.87879e-05,3.58669e-05,5.71335e-05,0,0,6.24169e-05,0.000168971,0.000110498,0,3.37928e-05,4.70353e-05,7.59063e-05,2.25779e-05,2.80806e-05
UniRef90_A0A174QSW1|g__Blautia.s__Blautia_wexlerae,8.57799e-05,7.09609e-05,6.47576e-05,5.67478e-05,0.000112181,0,0.000179429,0.000468437,8.23922e-05,0.000110748,6.64843e-05,6.54504e-05,2.77961e-05,0.000223448,8.95643e-05,0.000105925,0.0001488,7.94303e-05,1.67303e-05,7.77456e-05,9.99992e-05,2.75242e-05,4.28653e-05,3.94702e-05,9.47674e-05,0.00051908,4.85112e-05,7.1611e-05,2.90694e-05,0.000107993,0.000105744,0.00049781,0.000153599,0.000111021,4.07277e-05,3.41635e-05,0.000145385,0.000123482,2.74553e-05,5.59937e-05,6.83365e-05,4.60347e-05,6.24579e-05,0.000719574,0.000121384,3.41078e-05,0,0.00013069,0.000154841,7.9655e-05,0.000190588,0,4.58521e-05,3.59155e-05,0.000877408,0.000127222,4.13666e-05,5.52292e-05,4.55696e-05,0.00014879,0.000147397,2.59532e-05,1.92884e-05,0.000145919,0.000125186,0.000107136,3.47988e-05,2.70265e-05,5.14237e-05,1.72429e-05,4.79773e-05,6.88594e-05,3.07559e-05,3.08531e-05,1.75052e-05,2.53716e-05,6.46504e-05,0.000118141,0.000142926,6.75287e-05,6.87714e-05,0.000245155,2.32891e-05,3.20133e-05,0.000203055,4.44131e-05,6.93854e-05,0.000127239,3.81352e-05,0.000104352,7.83342e-05,0.000487353,0.000344479,3.86466e-05,9.32738e-05,0.000200308,0.000219153,3.56297e-05,6.31797e-05,0.000186635,0.000412082,0.000106571,7.86035e-05,0,0.000109088,9.42278e-05,0.000112759,3.65727e-05,0,0.000150672,0.000128858,5.48238e-05,2.50282e-05,0.000100496,0.000152241,0.000134442,0.000111603,4.53599e-05,0.000112031,2.43215e-05,3.29046e-05,0.000104743,0.00024162,7.5239e-05,0.000119231,8.88041e-06,4.93778e-05,5.37945e-05,2.74454e-05,5.90563e-05,2.30029e-05,1.95904e-06,5.12372e-05,4.2293e-05,0.000148741,2.55447e-05,1.36461e-05,1.49869e-05,0,4.97215e-05,7.31349e-05,7.58874e-06,6.40287e-05,6.82841e-05,0,8.57492e-05,6.22973e-05,0.000118984,2.97408e-05,2.7109e-05,2.69037e-05,0.000146331,2.75963e-05,2.07158e-05
UniRef90_A0A0M6WVM2,0,1.27543e-05,9.72955e-05,5.20259e-05,4.93306e-05,0,5.40098e-05,0,3.44272e-05,0,0,0.000540839,0,0.000280203,0,0,2.56468e-05,0.000150986,2.9879e-05,5.41264e-05,0.000100564,7.35309e-06,0.000152384,5.98879e-05,0.000446398,0,0,0.000161179,0,0.000553459,2.86962e-05,0,0.000236677,7.35834e-05,0,2.38519e-05,0.000109373,0,8.51603e-05,3.26643e-05,9.53944e-05,0.000190019,1.8823e-05,0,0.00025162,0.000164212,5.0788e-05,0.000126624,0,0,0.00167796,0,0.000111221,0,0,0,0,0,7.88375e-06,0.000165807,0,1.39448e-05,8.6761e-05,0,0.00011429,0,1.67852e-05,0.000317429,0,3.66281e-05,0.000198738,4.51509e-05,1.572e-05,1.34035e-05,0,0,0.000194407,0.000124529,0.000137467,0.000120233,3.27378e-05,0.000204206,0,7.93585e-05,1.89699e-05,6.67332e-05,0.000131135,9.23126e-06,0.000121156,7.52131e-06,0.00039211,0,6.90363e-05,0,0.000324554,8.82364e-05,0,0.000126895,0.000201349,0,0.000107505,0.000152107,0,1.18656e-05,6.55774e-05,4.4625e-05,1.9744e-05,0.000219624,1.25157e-05,0.000207494,2.05242e-05,0.000142453,0.000303888,0.000267648,1.2983e-05,0,0,6.8791e-06,0,0,2.57955e-05,0,0,0,0,2.62211e-05,5.4885e-05,0.000109676,9.92228e-06,0.000695753,3.59644e-05,0,0.000171108,0.000244514,0.000807706,3.95394e-05,6.74345e-05,0,0,0,0.000393103,0,0,3.42897e-05,2.5364e-05,0.000171238,0,0,0.000142582,0.000168214,0.00053235,0.000288524,5.89851e-05,2.46025e-05
UniRef90_A5ZYU6,0.000118797,0.00010443,7.24983e-05,4.31198e-05,0.00012746,0.000312816,0.000252347,0,8.25758e-05,0.000126914,6.02843e-05,5.81468e-05,1.93156e-05,0.000253936,7.94719e-05,0.000173213,0.000166741,0.000105079,2.11553e-05,7.918e-05,0.000120046,3.76544e-05,4.17091e-05,5.42035e-05,8.48458e-05,0.0005944,3.21036e-05,7.41389e-05,3.28999e-05,0.000150729,0.000190804,0.000701032,0.000171705,0.000131644,4.00428e-05,4.8032e-05,0.000193573,0.000211628,3.78626e-05,4.86441e-05,7.9589e-05,5.93625e-05,8.27995e-05,8.14395e-05,0.00013531,3.76317e-05,0.000103194,0.000134244,0.000149622,9.53686e-05,3.20738e-05,2.10611e-05,3.51957e-05,2.41645e-05,9.42502e-05,0.000162797,2.41857e-05,5.8187e-05,5.22774e-05,0.00018076,0.000190788,3.06724e-05,2.43051e-05,0.000116567,0.000113373,0.000173939,4.02274e-05,1.73007e-05,5.3614e-05,1.95965e-05,3.1842e-05,5.37299e-05,2.06243e-05,3.29029e-05,2.36401e-05,2.82201e-05,6.94694e-05,0.000111851,0.000170962,6.85536e-05,8.8996e-05,0.00028262,2.30755e-05,3.3649e-05,0.000432705,4.59881e-05,0.000162121,0.000162669,4.48046e-05,0.000146188,9.78901e-05,0.00054454,1.0727e-06,8.22773e-05,8.37346e-05,0.000277235,0.000435281,3.05899e-05,5.90411e-05,2.50918e-05,0.000499532,0.000147895,9.22176e-05,3.15393e-05,0.000121457,0.000121427,0.000109208,4.07259e-05,0.000129232,0.000207989,0.000168273,0.000119471,2.29584e-05,9.77234e-05,0.00017224,0.000182403,0.000133615,5.83854e-05,2.64023e-07,2.6806e-05,3.79334e-05,0.000117403,9.52431e-06,9.63001e-07,0,7.51645e-06,2.28132e-05,3.27877e-05,3.01221e-05,4.77935e-05,8.86171e-06,1.0095e-06,4.15685e-05,3.16364e-05,0.00030158,2.34456e-05,7.58756e-06,1.37131e-06,4.60483e-05,4.50259e-05,9.22146e-05,0,8.02649e-05,2.08902e-05,2.14376e-05,8.73148e-07,5.39706e-06,0.000125742,2.01963e-05,2.85288e-05,1.74682e-05,0.000216395,2.41427e-05,1.59097e-05
UniRef90_B5CLP5,0.00012996,9.54586e-05,0.000120761,0.000157355,0.000172669,0.000157236,0.000115319,0.000123876,0.000148616,0.000104197,6.4144e-05,0.000100344,5.26017e-05,0.000222582,7.99309e-05,7.44577e-05,0.000175842,8.98391e-05,5.78162e-05,7.3506e-05,0.000177365,9.01302e-05,0.000146168,9.87812e-05,8.13133e-05,9.30011e-05,4.46479e-05,9.55946e-05,1.12175e-05,0.000104931,0.000244865,5.7011e-05,8.09154e-05,0.000105153,8.1765e-05,0.000129628,0.00011152,0.000135392,4.12913e-05,9.21426e-05,8.59088e-05,9.61945e-05,8.36241e-05,4.86093e-05,9.08652e-05,8.48688e-05,9.9724e-05,9.22836e-05,6.43299e-05,8.54595e-05,2.88432e-05,5.25327e-05,8.11695e-05,4.66303e-05,4.18124e-05,4.81735e-05,0.000419387,0.000108807,0.00011511,0.000141572,0.000118571,5.58377e-05,5.7462e-05,0.000150253,0.000112634,4.45425e-05,6.31711e-05,7.92565e-05,0.000136203,3.4068e-05,6.45846e-05,0.00010305,3.39078e-05,4.35648e-05,6.59134e-05,3.61871e-05,3.32972e-05,7.81465e-05,0.000111584,0.000107578,8.04609e-05,0.000169147,3.31433e-05,9.01803e-05,0.000148726,8.4911e-05,0.000137773,6.75902e-05,5.77315e-05,9.90318e-05,0.000111894,0.000157559,4.0537e-05,6.83569e-05,0.000156022,5.81962e-05,8.58825e-05,4.32297e-05,5.4084e-05,5.35374e-05,0.000182996,8.28227e-05,0.000195677,6.48295e-05,7.26106e-05,4.86841e-05,8.66362e-05,5.14707e-05,0.000134034,9.4979e-05,9.59141e-05,0.000166601,7.54482e-05,0.000106054,9.06272e-05,8.42678e-05,6.57737e-05,8.08003e-05,0.000220324,5.27703e-05,0.000110899,3.23439e-05,0.000219444,7.58922e-05,9.39135e-05,1.6473e-05,9.29587e-05,0.000163725,5.02681e-05,0.000184292,6.91406e-05,1.79931e-06,0.000114714,0.000163863,0.000104327,3.55117e-05,8.02275e-05,1.84082e-05,0.0002415,0.000210445,7.58068e-05,2.21556e-05,0.00016214,6.07765e-05,9.35034e-05,0.000200288,6.04964e-05,0.000264204,8.53576e-05,4.49427e-05,9.64e-05,0.000128968,0.000168975,3.58348e-05
UniRef90_A0A396G4X1,0.000103377,7.80026e-05,0.000148941,0.00013907,0.000116914,0.000178149,0.000149743,1.32042e-06,4.54751e-05,7.55856e-05,7.46571e-05,0.000159818,8.06105e-05,0.000107639,0.000115211,0.000102172,0.000147736,0.00013032,5.29475e-05,0.000110375,0.000131433,6.27473e-05,0.000207259,0.00011674,5.60763e-05,0.00022039,2.7537e-05,0.000106566,8.86293e-06,0.000139289,7.67538e-05,9.58531e-05,0.000163196,0.000109799,7.46373e-05,6.2218e-05,0.000115266,5.70528e-05,0.000143174,7.98549e-05,9.72278e-05,0.000192952,4.29449e-05,0.000227842,0.000156852,0.000191553,5.38175e-05,9.62715e-05,8.61451e-05,6.47651e-05,1.8818e-05,5.09477e-05,8.40646e-05,1.55924e-05,3.73114e-05,2.78595e-05,3.92197e-05,9.31613e-05,0.000130918,9.8619e-05,9.9289e-05,6.2594e-05,4.29881e-05,1.98537e-05,0.000233131,4.72039e-05,6.92824e-05,0.000106848,0.000108474,3.63021e-05,7.52147e-05,0.000107458,6.88555e-05,4.2717e-05,6.38728e-05,3.89311e-05,0.000109239,0.000116166,9.3356e-05,3.29056e-05,0.000228728,0.000275269,7.53602e-05,6.05167e-05,7.82117e-05,8.21644e-05,0.000109659,5.5692e-05,3.43711e-05,9.7218e-05,0.000118143,0.000102714,9.61379e-05,0.000252166,0.000118226,0.000166302,9.08356e-05,8.57606e-05,9.88121e-05,7.51986e-05,0.000115502,0.000116505,9.36189e-05,8.60162e-05,9.70126e-05,7.71421e-05,6.34219e-05,0.000131848,0.000206967,0.000161827,0.000146443,5.4724e-05,8.101e-05,0.000128448,0.000100198,0.0001268,4.79268e-05,0.000167424,9.46802e-05,6.49978e-05,9.77974e-05,9.47326e-05,0.000103878,0.000121251,3.17714e-05,8.00081e-05,6.89117e-05,9.16917e-05,9.26704e-05,0.000157021,3.87352e-05,1.11309e-06,0.000115858,7.18946e-05,0.000104723,8.10185e-05,3.82098e-05,1.20409e-05,7.74691e-06,9.77707e-05,8.26785e-05,2.31164e-06,0.000181859,0.000242048,4.70772e-05,8.28532e-05,7.10332e-05,7.55397e-05,0.000152925,6.24419e-05,0.000149321,6.38909e-05,0.000148708,0.000109706
UniRef90_A5ZYU6|g__Blautia.s__Blautia_obeum,0.000118797,0.00010388,7.24559e-05,4.27697e-05,0.00012746,0.000312816,0.000252347,0,8.24793e-05,0.000126914,6.01816e-05,5.80917e-05,1.8889e-05,0.000253936,7.93882e-05,0.000173213,0.000166616,0.000105079,2.09836e-05,7.918e-05,0.00011992,3.76544e-05,4.17091e-05,5.40744e-05,8.48458e-05,0.000594237,3.19588e-05,7.41389e-05,3.28999e-05,0.000150729,0.00019069,0.000700664,0.000171598,0.000131644,4.00428e-05,4.76449e-05,0.000193573,0.000210746,3.78626e-05,4.85703e-05,7.9589e-05,5.93625e-05,8.27995e-05,0,0.000135163,3.76317e-05,0.000103142,0.000134244,0.000149622,9.53686e-05,0,2.10611e-05,3.48247e-05,2.41645e-05,0,0.000162797,2.39122e-05,5.8187e-05,5.22774e-05,0.00018076,0.000190788,3.05522e-05,2.43051e-05,0.000116567,0.000113373,0.000173286,3.94358e-05,1.72378e-05,5.34022e-05,1.95965e-05,3.1842e-05,5.35751e-05,2.06243e-05,3.27874e-05,2.348e-05,2.82201e-05,6.94694e-05,0.000111851,0.000170962,6.85536e-05,8.84714e-05,0.00028262,2.29512e-05,3.3478e-05,0.000431394,4.587e-05,0.000161605,0.000162669,4.48046e-05,0.000146188,9.76378e-05,0.000544477,0,8.20755e-05,8.36055e-05,0.000277091,0.000433712,3.05899e-05,5.90411e-05,0,0.000499351,0.000147816,9.19866e-05,3.14041e-05,0.000121176,0.000121427,0.000109208,4.05587e-05,0.000129232,0.000207823,0.000168273,0.000111369,2.29584e-05,9.76808e-05,0.00017224,0.000182248,0.000133615,5.83854e-05,0,2.6806e-05,3.77326e-05,0.000117248,0,0,0,7.51645e-06,2.27059e-05,3.27877e-05,2.99465e-05,4.77935e-05,8.73552e-06,1.0095e-06,4.13707e-05,3.16364e-05,0.000300971,2.34456e-05,7.44469e-06,0,0,4.47651e-05,9.22146e-05,0,7.99326e-05,2.08902e-05,2.13283e-05,0,0,0.00012544,2.00669e-05,2.79529e-05,1.74682e-05,0.000216395,2.41427e-05,1.58596e-05
UniRef90_A0A3E4GL34,0.000103719,9.92562e-05,0.000131895,8.91077e-05,6.91594e-05,7.0697e-07,5.91615e-05,2.81243e-06,1.75338e-06,0.000234272,0.000123545,0.000130344,2.47736e-06,0.000503751,6.22605e-06,0.000185406,0.0001655,0.000110341,6.95449e-05,7.3695e-05,0.000142586,5.67639e-05,9.15733e-05,8.9717e-05,0.000188066,1.93769e-06,6.3432e-05,0.000127782,6.15579e-06,0.000190925,6.65236e-05,0.000181502,0.000212505,0.00021105,0.000100901,2.77744e-05,0.000155747,5.08067e-07,4.15192e-05,0.000130643,0.000119533,0.000115503,8.06014e-05,1.67919e-07,0.00011476,5.40083e-05,0.000141445,0.000130012,7.49955e-07,0.000110627,0.000161969,5.25566e-05,6.6186e-05,9.16723e-05,1.43682e-06,7.89724e-05,0.000273056,0.000165092,0.000121261,0.000114933,2.84952e-07,3.55658e-05,2.64032e-05,5.453e-06,0.000185372,4.03928e-05,5.15216e-05,5.34392e-05,0.00010602,3.30307e-05,8.5359e-05,0.000145665,2.44816e-05,7.56223e-05,2.88014e-05,5.12759e-05,6.74601e-05,0.000223054,0.000312924,0.000183161,6.43165e-05,0.000210674,3.59268e-05,6.51633e-05,0.000151485,7.84215e-05,0.000118255,0.000159262,4.87961e-05,7.11738e-05,0.000129695,4.92438e-06,3.10626e-07,2.56242e-05,0.00022549,0.000142675,0.000232065,8.55695e-05,5.25302e-05,0.000592884,3.54855e-07,0.00011788,0.000219952,6.76166e-05,0.000217723,0.00016503,0.000138049,7.29667e-05,0.000253993,0.000194531,0.000237898,6.57612e-06,0.00012885,0.000136405,0.000193176,6.12781e-05,0.000148097,5.32092e-05,0.000184622,4.87002e-05,5.31242e-05,4.52713e-07,0.000105786,4.46594e-05,0,1.45866e-05,9.1431e-05,0.000110472,7.64405e-05,3.33657e-07,6.03445e-05,1.51199e-06,9.70153e-05,7.53993e-06,6.42656e-06,5.19168e-05,1.75399e-05,1.1343e-05,4.09999e-06,8.62034e-05,0.000196264,1.30232e-05,8.13071e-05,7.58545e-05,5.19828e-05,9.73375e-05,1.34243e-06,6.31127e-05,6.03901e-05,7.80425e-05,7.3195e-05,2.34715e-06,0.000135349,3.59036e-05
UniRef90_R9LJ58,8.78346e-05,4.72738e-05,0.00021102,8.92394e-05,7.80773e-05,6.3815e-05,0.000249541,9.07156e-05,8.02534e-06,6.01469e-05,7.69426e-05,5.90718e-05,3.85909e-05,0.000259283,0.00017661,8.50962e-05,0.000197265,8.60675e-05,0.000134495,6.13809e-05,0.000226162,3.69147e-05,0.000104943,0.000166584,4.21519e-05,0.000183144,2.13239e-05,0.000122793,3.61795e-05,3.69524e-05,0.000133319,0.000162599,0.000187382,0.000231483,8.86952e-05,0.000107971,0.00011059,5.48961e-05,0.00013665,0.000117467,4.91753e-05,9.04151e-05,4.75265e-05,0.000249291,8.42233e-05,0.000241474,8.78213e-05,1.61671e-05,0.000120899,9.8548e-05,9.20372e-05,1.84525e-05,9.66909e-05,6.56514e-06,1.75552e-05,3.69552e-05,2.05592e-05,0.00014433,0.00019848,0.000189446,0.000189494,8.81299e-05,3.93246e-05,3.12875e-05,0.000100656,0.000153743,3.7242e-05,6.43245e-05,0.000191482,6.49392e-05,6.20759e-05,6.13061e-05,2.64225e-05,4.18988e-05,3.61835e-05,4.15746e-05,7.92383e-05,0.00012217,7.84726e-05,9.00001e-05,0.000138835,0.000205208,1.42671e-05,4.45514e-05,0.000203462,0.000143344,0.000159628,4.60769e-05,3.07125e-05,0.000110327,0.000134217,0.000108216,0.000192772,7.68681e-05,0.00011311,0.000230778,0.00029302,0.000104931,9.89048e-05,0.000118038,0.000127427,7.93495e-05,8.84524e-05,5.5081e-05,9.51031e-05,9.45971e-05,7.05998e-05,6.29014e-05,0.000108963,8.27766e-05,0.000133698,0.000107663,5.47338e-05,0.000150885,8.0956e-05,5.66261e-05,5.58918e-05,0.000136791,0.000108412,3.16111e-05,0.000152521,0.000157454,8.39059e-05,4.22354e-05,6.62431e-05,2.38255e-05,6.89655e-05,8.07261e-05,9.70569e-05,8.59219e-05,3.68423e-05,9.95645e-07,4.71219e-05,3.02532e-05,0.000100092,5.94204e-05,2.16182e-05,9.67558e-06,1.88133e-05,0.000167151,9.03374e-05,8.82929e-07,0.000175181,5.17668e-05,5.71061e-05,5.82309e-05,5.03554e-05,0.000181973,3.4131e-05,0.000197546,9.73911e-05,0.000103344,7.26483e-05,4.66841e-05
